FIPS,RUCC_2013
01001,2
01003,3
01005,6
01007,1
01009,1
01011,6
01013,6
01015,3
01017,6
01019,6
01021,1
01023,9
01025,7
01027,9
01029,8
01031,4
01033,3
01035,7
01037,8
01039,6
01041,8
01043,4
01045,4
01047,4
01049,6
01051,2
01053,6
01055,3
01057,6
01059,6
01061,3
01063,8
01065,3
01067,3
01069,3
01071,6
01073,1
01075,8
01077,3
01079,3
01081,3
01083,2
01085,2
01087,6
01089,2
01091,7
01093,7
01095,4
01097,2
01099,7
01101,2
01103,3
01105,8
01107,3
01109,6
01111,6
01113,2
01115,1
01117,1
01119,8
01121,4
01123,6
01125,3
01127,1
01129,8
01131,9
01133,6
02013,9
02016,9
02020,2
02050,7
02060,9
02068,8
02070,9
02090,3
02100,9
02105,9
02110,5
02122,7
02130,7
02150,7
02164,9
02170,2
02180,7
02185,7
02188,7
02195,9
02198,9
02220,7
02230,9
02240,9
02261,9
02270,9
02275,9
02282,9
02290,9
04001,6
04003,3
04005,3
04007,4
04009,7
04011,7
04012,6
04013,1
04015,3
04017,4
04019,2
04021,1
04023,4
04025,3
04027,3
05001,6
05003,7
05005,7
05007,2
05009,7
05011,7
05013,9
05015,6
05017,7
05019,7
05021,7
05023,6
05025,3
05027,7
05029,6
05031,3
05033,2
05035,1
05037,6
05039,6
05041,6
05043,6
05045,2
05047,6
05049,9
05051,3
05053,2
05055,4
05057,6
05059,6
05061,6
05063,7
05065,9
05067,6
05069,3
05071,7
05073,8
05075,6
05077,7
05079,3
05081,3
05083,6
05085,2
05087,2
05089,9
05091,3
05093,4
05095,7
05097,8
05099,7
05101,9
05103,7
05105,2
05107,6
05109,9
05111,3
05113,7
05115,5
05117,8
05119,2
05121,7
05123,6
05125,2
05127,6
05129,9
05131,2
05133,6
05135,7
05137,9
05139,7
05141,8
05143,2
05145,4
05147,9
05149,6
06001,1
06003,8
06005,6
06007,3
06009,6
06011,6
06013,1
06015,7
06017,1
06019,2
06021,6
06023,5
06025,3
06027,7
06029,2
06031,3
06033,4
06035,7
06037,1
06039,3
06041,1
06043,8
06045,4
06047,2
06049,6
06051,7
06053,2
06055,3
06057,4
06059,1
06061,1
06063,7
06065,1
06067,1
06069,1
06071,1
06073,1
06075,1
06077,2
06079,2
06081,1
06083,2
06085,1
06087,2
06089,3
06091,8
06093,6
06095,2
06097,2
06099,2
06101,3
06103,4
06105,8
06107,2
06109,4
06111,2
06113,1
06115,3
08001,1
08003,7
08005,1
08007,7
08009,9
08011,7
08013,2
08014,1
08015,7
08017,9
08019,1
08021,9
08023,9
08025,8
08027,8
08029,6
08031,1
08033,9
08035,1
08037,5
08039,1
08041,2
08043,4
08045,5
08047,1
08049,7
08051,7
08053,9
08055,6
08057,9
08059,1
08061,9
08063,7
08065,6
08067,4
08069,2
08071,7
08073,8
08075,7
08077,3
08079,9
08081,7
08083,6
08085,4
08087,6
08089,6
08091,9
08093,1
08095,9
08097,7
08099,7
08101,3
08103,9
08105,7
08107,7
08109,9
08111,9
08113,9
08115,9
08117,5
08119,2
08121,9
08123,2
08125,7
09001,2
09003,1
09005,4
09007,1
09009,2
09011,2
09013,1
09015,2
10001,3
10003,1
10005,2
11001,1
12001,2
12003,1
12005,3
12007,6
12009,2
12011,1
12013,6
12015,3
12017,3
12019,1
12021,2
12023,4
12027,6
12029,6
12031,1
12033,2
12035,2
12037,6
12039,2
12041,2
12043,6
12045,3
12047,6
12049,6
12051,4
12053,1
12055,3
12057,1
12059,6
12061,3
12063,6
12065,2
12067,9
12069,1
12071,2
12073,2
12075,6
12077,8
12079,6
12081,2
12083,2
12085,2
12086,1
12087,4
12089,1
12091,3
12093,4
12095,1
12097,1
12099,1
12101,1
12103,1
12105,2
12107,4
12109,1
12111,2
12113,2
12115,2
12117,1
12119,3
12121,6
12123,6
12125,6
12127,2
12129,2
12131,3
12133,6
13001,7
13003,9
13005,7
13007,3
13009,4
13011,8
13013,1
13015,1
13017,7
13019,6
13021,3
13023,6
13025,3
13027,3
13029,2
13031,4
13033,2
13035,1
13037,8
13039,4
13043,7
13045,1
13047,2
13049,6
13051,2
13053,2
13055,6
13057,1
13059,3
13061,9
13063,1
13065,6
13067,1
13069,7
13071,6
13073,2
13075,6
13077,1
13079,3
13081,6
13083,2
13085,1
13087,6
13089,1
13091,6
13093,6
13095,3
13097,1
13099,6
13101,3
13103,2
13105,6
13107,7
13109,6
13111,8
13113,1
13115,3
13117,1
13119,8
13121,1
13123,6
13125,9
13127,3
13129,4
13131,6
13133,6
13135,1
13137,6
13139,3
13141,7
13143,1
13145,2
13147,6
13149,1
13151,1
13153,3
13155,7
13157,4
13159,1
13161,7
13163,6
13165,6
13167,7
13169,3
13171,1
13173,3
13175,5
13177,3
13179,3
13181,2
13183,3
13185,3
13187,6
13189,2
13191,3
13193,6
13195,3
13197,2
13199,1
13201,8
13205,6
13207,3
13209,9
13211,1
13213,3
13215,2
13217,1
13219,3
13221,3
13223,1
13225,3
13227,1
13229,6
13231,1
13233,4
13235,3
13237,6
13239,9
13241,7
13243,6
13245,2
13247,1
13249,8
13251,6
13253,6
13255,1
13257,7
13259,8
13261,6
13263,8
13265,8
13267,6
13269,8
13271,7
13273,3
13275,4
13277,5
13279,7
13281,9
13283,7
13285,4
13287,6
13289,3
13291,9
13293,6
13295,2
13297,1
13299,5
13301,8
13303,7
13305,6
13307,8
13309,9
13311,6
13313,3
13315,8
13317,6
13319,8
13321,3
15001,5
15003,2
15005,3
15007,5
15009,3
16001,2
16003,9
16005,3
16007,9
16009,6
16011,4
16013,7
16015,2
16017,6
16019,3
16021,7
16023,3
16025,9
16027,2
16029,6
16031,7
16033,9
16035,6
16037,8
16039,6
16041,3
16043,6
16045,2
16047,7
16049,6
16051,3
16053,7
16055,3
16057,4
16059,7
16061,8
16063,9
16065,4
16067,7
16069,3
16071,8
16073,2
16075,6
16077,6
16079,6
16081,9
16083,5
16085,8
16087,6
17001,5
17003,3
17005,1
17007,2
17009,7
17011,7
17013,1
17015,7
17017,6
17019,3
17021,6
17023,6
17025,7
17027,1
17029,5
17031,1
17033,7
17035,9
17037,1
17039,3
17041,6
17043,1
17045,6
17047,9
17049,7
17051,6
17053,3
17055,4
17057,6
17059,8
17061,6
17063,1
17065,7
17067,7
17069,9
17071,9
17073,2
17075,6
17077,3
17079,7
17081,7
17083,1
17085,6
17087,8
17089,1
17091,3
17093,1
17095,4
17097,1
17099,4
17101,7
17103,6
17105,4
17107,6
17109,5
17111,1
17113,3
17115,3
17117,1
17119,1
17121,4
17123,2
17125,6
17127,7
17129,3
17131,2
17133,1
17135,6
17137,4
17139,6
17141,4
17143,2
17145,6
17147,3
17149,7
17151,8
17153,8
17155,8
17157,6
17159,7
17161,2
17163,1
17165,6
17167,3
17169,7
17171,9
17173,6
17175,2
17177,4
17179,2
17181,6
17183,3
17185,7
17187,6
17189,6
17191,7
17193,6
17195,4
17197,1
17199,3
17201,2
17203,2
18001,6
18003,2
18005,3
18007,3
18009,6
18011,1
18013,1
18015,3
18017,4
18019,1
18021,3
18023,6
18025,8
18027,7
18029,1
18031,6
18033,4
18035,3
18037,5
18039,3
18041,6
18043,1
18045,6
18047,6
18049,7
18051,6
18053,4
18055,6
18057,1
18059,1
18061,1
18063,1
18065,4
18067,3
18069,6
18071,4
18073,1
18075,6
18077,6
18079,6
18081,1
18083,5
18085,4
18087,6
18089,1
18091,3
18093,6
18095,1
18097,1
18099,6
18101,7
18103,6
18105,3
18107,6
18109,1
18111,1
18113,6
18115,1
18117,6
18119,3
18121,6
18123,6
18125,8
18127,1
18129,2
18131,6
18133,1
18135,6
18137,6
18139,6
18141,2
18143,1
18145,1
18147,8
18149,6
18151,7
18153,3
18155,8
18157,3
18159,6
18161,1
18163,2
18165,3
18167,3
18169,6
18171,8
18173,2
18175,1
18177,5
18179,2
18181,6
18183,2
19001,8
19003,9
19005,6
19007,7
19009,8
19011,2
19013,3
19015,6
19017,3
19019,6
19021,7
19023,8
19025,9
19027,7
19029,6
19031,6
19033,5
19035,6
19037,6
19039,6
19041,7
19043,8
19045,4
19047,7
19049,2
19051,9
19053,9
19055,6
19057,5
19059,7
19061,3
19063,7
19065,6
19067,7
19069,7
19071,8
19073,6
19075,3
19077,2
19079,6
19081,7
19083,6
19085,2
19087,6
19089,6
19091,7
19093,8
19095,6
19097,6
19099,6
19101,7
19103,3
19105,2
19107,8
19109,7
19111,5
19113,2
19115,8
19117,6
19119,8
19121,2
19123,7
19125,6
19127,4
19129,2
19131,7
19133,6
19135,7
19137,6
19139,4
19141,7
19143,7
19145,6
19147,7
19149,3
19151,9
19153,2
19155,2
19157,7
19159,9
19161,9
19163,2
19165,6
19167,7
19169,3
19171,6
19173,9
19175,6
19177,9
19179,5
19181,2
19183,3
19185,9
19187,5
19189,7
19191,7
19193,3
19195,9
19197,7
20001,7
20003,6
20005,6
20007,9
20009,7
20011,6
20013,6
20015,2
20017,9
20019,8
20021,6
20023,9
20025,9
20027,6
20029,7
20031,6
20033,9
20035,4
20037,4
20039,9
20041,7
20043,3
20045,3
20047,9
20049,8
20051,5
20053,7
20055,5
20057,5
20059,6
20061,4
20063,9
20065,9
20067,7
20069,9
20071,9
20073,6
20075,9
20077,8
20079,2
20081,9
20083,9
20085,3
20087,3
20089,9
20091,1
20093,9
20095,2
20097,9
20099,7
20101,9
20103,1
20105,9
20107,1
20109,9
20111,4
20113,7
20115,6
20117,6
20119,9
20121,1
20123,7
20125,5
20127,8
20129,9
20131,6
20133,7
20135,9
20137,7
20139,3
20141,9
20143,9
20145,7
20147,7
20149,3
20151,7
20153,9
20155,4
20157,9
20159,7
20161,3
20163,9
20165,9
20167,7
20169,5
20171,7
20173,2
20175,5
20177,3
20179,9
20181,7
20183,9
20185,9
20187,9
20189,7
20191,2
20193,7
20195,9
20197,3
20199,9
20201,9
20203,9
20205,7
20207,9
20209,1
21001,7
21003,3
21005,6
21007,9
21009,6
21011,8
21013,7
21015,1
21017,2
21019,2
21021,7
21023,1
21025,7
21027,8
21029,1
21031,3
21033,7
21035,7
21037,1
21039,9
21041,6
21043,6
21045,9
21047,2
21049,2
21051,7
21053,9
21055,7
21057,9
21059,3
21061,3
21063,9
21065,6
21067,2
21069,7
21071,7
21073,4
21075,9
21077,1
21079,6
21081,1
21083,7
21085,6
21087,8
21089,2
21091,3
21093,3
21095,7
21097,6
21099,8
21101,2
21103,1
21105,9
21107,5
21109,9
21111,1
21113,2
21115,7
21117,1
21119,9
21121,7
21123,3
21125,5
21127,6
21129,9
21131,9
21133,9
21135,8
21137,7
21139,9
21141,6
21143,9
21145,5
21147,9
21149,3
21151,4
21153,9
21155,7
21157,7
21159,9
21161,6
21163,3
21165,9
21167,6
21169,9
21171,8
21173,6
21175,9
21177,6
21179,6
21181,8
21183,6
21185,1
21187,8
21189,9
21191,1
21193,7
21195,7
21197,6
21199,5
21201,8
21203,7
21205,7
21207,9
21209,2
21211,1
21213,6
21215,1
21217,7
21219,8
21221,2
21223,1
21225,6
21227,3
21229,9
21231,7
21233,8
21235,7
21237,9
21239,2
22001,2
22003,6
22005,2
22007,6
22009,6
22011,6
22013,6
22015,2
22017,2
22019,3
22021,8
22023,3
22025,9
22027,6
22029,7
22031,2
22033,2
22035,7
22037,2
22039,6
22041,7
22043,3
22045,2
22047,2
22049,6
22051,1
22053,6
22055,2
22057,3
22059,6
22061,4
22063,2
22065,7
22067,6
22069,6
22071,1
22073,3
22075,1
22077,2
22079,3
22081,8
22083,6
22085,6
22087,1
22089,1
22091,2
22093,1
22095,1
22097,4
22099,2
22101,4
22103,1
22105,3
22107,9
22109,3
22111,3
22113,2
22115,5
22117,6
22119,2
22121,2
22123,9
22125,2
22127,6
23001,3
23003,7
23005,2
23007,6
23009,6
23011,4
23013,7
23015,8
23017,6
23019,3
23021,8
23023,2
23025,6
23027,6
23029,7
23031,2
24001,3
24003,1
24005,1
24009,1
24011,6
24013,1
24015,1
24017,1
24019,6
24021,1
24023,6
24025,1
24027,1
24029,6
24031,1
24033,1
24035,1
24037,3
24039,2
24041,6
24043,2
24045,2
24047,2
24510,1
25001,3
25003,3
25005,1
25007,7
25009,1
25011,4
25013,2
25015,2
25017,1
25019,7
25021,1
25023,1
25025,1
25027,2
26001,9
26003,7
26005,4
26007,7
26009,9
26011,8
26013,9
26015,2
26017,3
26019,9
26021,3
26023,6
26025,3
26027,2
26029,7
26031,7
26033,7
26035,6
26037,2
26039,7
26041,5
26043,7
26045,2
26047,7
26049,2
26051,6
26053,7
26055,5
26057,6
26059,6
26061,5
26063,7
26065,2
26067,4
26069,7
26071,7
26073,4
26075,3
26077,2
26079,7
26081,2
26083,9
26085,9
26087,1
26089,9
26091,4
26093,1
26095,7
26097,7
26099,1
26101,7
26103,5
26105,7
26107,6
26109,7
26111,3
26113,9
26115,3
26117,2
26119,9
26121,3
26123,6
26125,1
26127,6
26129,9
26131,9
26133,9
26135,9
26137,7
26139,2
26141,7
26143,7
26145,3
26147,1
26149,4
26151,6
26153,7
26155,4
26157,6
26159,2
26161,2
26163,1
26165,7
27001,8
27003,1
27005,6
27007,7
27009,3
27011,9
27013,3
27015,6
27017,2
27019,1
27021,9
27023,7
27025,1
27027,3
27029,8
27031,9
27033,7
27035,4
27037,1
27039,3
27041,6
27043,6
27045,3
27047,7
27049,4
27051,9
27053,1
27055,3
27057,7
27059,1
27061,6
27063,7
27065,6
27067,4
27069,9
27071,6
27073,9
27075,6
27077,9
27079,1
27081,9
27083,7
27085,6
27087,8
27089,8
27091,7
27093,6
27095,1
27097,6
27099,4
27101,9
27103,3
27105,7
27107,8
27109,3
27111,6
27113,6
27115,6
27117,6
27119,3
27121,8
27123,1
27125,8
27127,7
27129,8
27131,4
27133,6
27135,7
27137,2
27139,1
27141,1
27143,1
27145,3
27147,5
27149,7
27151,7
27153,6
27155,9
27157,3
27159,7
27161,6
27163,1
27165,6
27167,6
27169,4
27171,1
27173,9
28001,5
28003,7
28005,8
28007,6
28009,1
28011,7
28013,9
28015,9
28017,7
28019,9
28021,8
28023,9
28025,7
28027,7
28029,2
28031,8
28033,1
28035,3
28037,9
28039,6
28041,8
28043,7
28045,2
28047,2
28049,2
28051,6
28053,6
28055,8
28057,7
28059,2
28061,9
28063,8
28065,8
28067,4
28069,9
28071,4
28073,3
28075,5
28077,8
28079,6
28081,5
28083,5
28085,6
28087,5
28089,2
28091,6
28093,1
28095,7
28097,7
28099,7
28101,7
28103,7
28105,5
28107,6
28109,6
28111,3
28113,6
28115,7
28117,7
28119,6
28121,2
28123,6
28125,8
28127,2
28129,8
28131,6
28133,7
28135,7
28137,1
28139,6
28141,8
28143,1
28145,6
28147,9
28149,4
28151,5
28153,7
28155,9
28157,8
28159,7
28161,7
28163,2
29001,7
29003,3
29005,9
29007,6
29009,6
29011,6
29013,1
29015,7
29017,3
29019,3
29021,3
29023,5
29025,1
29027,3
29029,7
29031,3
29033,6
29035,9
29037,1
29039,6
29041,9
29043,2
29045,9
29047,1
29049,1
29051,3
29053,6
29055,6
29057,8
29059,2
29061,8
29063,3
29065,7
29067,6
29069,7
29071,1
29073,6
29075,8
29077,2
29079,7
29081,7
29083,6
29085,8
29087,8
29089,6
29091,7
29093,7
29095,1
29097,3
29099,1
29101,4
29103,9
29105,6
29107,1
29109,6
29111,9
29113,1
29115,7
29117,6
29119,2
29121,7
29123,6
29125,8
29127,5
29129,9
29131,6
29133,6
29135,3
29137,9
29139,6
29141,8
29143,7
29145,3
29147,6
29149,9
29151,3
29153,9
29155,7
29157,6
29159,4
29161,5
29163,6
29165,1
29167,2
29169,5
29171,9
29173,9
29175,6
29177,1
29179,9
29181,9
29183,1
29185,8
29186,6
29187,4
29189,1
29195,6
29197,9
29199,9
29201,4
29203,9
29205,9
29207,6
29209,6
29211,9
29213,4
29215,9
29217,7
29219,1
29221,6
29223,9
29225,2
29227,9
29229,6
29510,1
30001,7
30003,6
30005,9
30007,9
30009,3
30011,9
30013,3
30015,8
30017,7
30019,9
30021,7
